LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
AUS;UNEMP;25_74;PC_LF;Q;2005-Q1;377.664;
AUS;UNEMP;25_74;PC_LF;Q;2005-Q2;3.755.136;
AUS;UNEMP;25_74;PC_LF;Q;2005-Q3;3.665.374;
AUS;UNEMP;25_74;PC_LF;Q;2005-Q4;3.711.678;
AUS;UNEMP;25_74;PC_LF;Q;2006-Q1;377.476;
AUS;UNEMP;25_74;PC_LF;Q;2006-Q2;3.622.555;
AUS;UNEMP;25_74;PC_LF;Q;2006-Q3;3.480.717;
AUS;UNEMP;25_74;PC_LF;Q;2006-Q4;3.351.305;
AUS;UNEMP;25_74;PC_LF;Q;2007-Q1;3.418.362;
AUS;UNEMP;25_74;PC_LF;Q;2007-Q2;32.474;
AUS;UNEMP;25_74;PC_LF;Q;2007-Q3;3.094.983;
AUS;UNEMP;25_74;PC_LF;Q;2007-Q4;3.112.396;
AUS;UNEMP;25_74;PC_LF;Q;2008-Q1;3.050.233;
AUS;UNEMP;25_74;PC_LF;Q;2008-Q2;3.151.943;
AUS;UNEMP;25_74;PC_LF;Q;2008-Q3;3.210.678;
AUS;UNEMP;25_74;PC_LF;Q;2008-Q4;3.341.624;
AUS;UNEMP;25_74;PC_LF;Q;2009-Q1;4.032.969;
AUS;UNEMP;25_74;PC_LF;Q;2009-Q2;43.191;
AUS;UNEMP;25_74;PC_LF;Q;2009-Q3;4.353.888;
AUS;UNEMP;25_74;PC_LF;Q;2009-Q4;4.272.997;
AUS;UNEMP;25_74;PC_LF;Q;2010-Q1;3.965.871;
AUS;UNEMP;25_74;PC_LF;Q;2010-Q2;3.884.689;
AUS;UNEMP;25_74;PC_LF;Q;2010-Q3;3.737.983;
AUS;UNEMP;25_74;PC_LF;Q;2010-Q4;3.696.193;
AUS;UNEMP;25_74;PC_LF;Q;2011-Q1;3.545.157;
AUS;UNEMP;25_74;PC_LF;Q;2011-Q2;3.627.609;
AUS;UNEMP;25_74;PC_LF;Q;2011-Q3;390.417;
AUS;UNEMP;25_74;PC_LF;Q;2011-Q4;3.888.953;
AUS;UNEMP;25_74;PC_LF;Q;2012-Q1;3.771.162;
AUS;UNEMP;25_74;PC_LF;Q;2012-Q2;3.759.924;
AUS;UNEMP;25_74;PC_LF;Q;2012-Q3;3.911.367;
AUS;UNEMP;25_74;PC_LF;Q;2012-Q4;3.994.968;
AUS;UNEMP;25_74;PC_LF;Q;2013-Q1;4.103.153;
